Student_Name,Roll_Number,Gender,Age,10th_Percentage,12th_Percentage,UG_CGPA,Backlogs_Count,Attendance_%,Technical_Skill_Score,Primary_Tech,Soft_Skill_Score,Soft_Skill_Strong_Area,Programming_Languages_Known,Projects_Count,Internships_Count,Certifications_Count,Study_Hours_per_Day,Preferred_Domain,Career_Path,Placement_Eligible,Package_LPA
Reyansh Roy,R20230034,Female,21,86.97,85.04,7.52,0,94.2,57,Other,63,Project Management,3,2,3,2,2.8,Web Development,Web Developer,Yes,5.38
Diya Yadav,R20240035,Female,22,75.31,86.31,5.88,1,100.0,71,JavaScript,44,Leadership,5,4,1,2,1.4,Data Science,Data Scientist,Yes,9.93
Krishna Gupta,R20250036,Female,18,69.09,73.97,5.25,3,78.4,40,JavaScript,80,Problem-Solving,2,0,0,3,2.3,Data Science,Data Analyst,No,4.77
Meera Aggarwal,R20230037,Male,21,56.48,59.37,6.94,1,83.1,77,Python,80,Communication,4,4,0,2,4.3,Cybersecurity,Software Developer,Yes,7.67
Navya Singh,R20240038,Male,22,70.81,73.02,7.25,0,77.8,55,Java,78,Project Management,7,4,0,3,3.7,Web Development,Web Developer,Yes,5.45
Reyansh Pathak,R20250039,Female,21,75.89,78.25,6.92,1,82.0,64,Python,57,Critical Thinking,5,2,1,1,3.8,Web Development,Backend Developer,Yes,5.38
Isha Reddy,R20230040,Male,22,68.13,56.56,5.98,2,97.3,63,Python,55,Project Management,3,1,1,0,1.6,Web Development,Frontend Developer,Yes,4.52
Navya Singh,R20240041,Male,20,76.69,75.02,6.92,1,68.5,44,Python,47,Leadership,7,1,0,2,0.7,Web Development,Web Developer,No,4.04
Ananya Verma,R20250042,Male,23,78.77,83.84,7.72,0,73.4,46,JavaScript,67,Problem-Solving,6,5,1,2,2.3,Web Development,Frontend Developer,Yes,5.32
Sai Verma,R20230043,Male,24,75.75,75.46,7.35,0,95.8,79,JavaScript,50,Leadership,5,2,0,1,0.0,Mobile Development,Software Developer,Yes,5.75
Ananya Mishra,R20240044,Female,20,71.5,63.07,7.62,3,92.2,70,Python,48,Project Management,8,2,0,4,3.3,Data Science,Data Analyst,Yes,7.08
Krishna Gupta,R20250045,Male,20,79.69,79.38,6.6,0,78.4,81,C,60,Communication,6,2,1,0,3.7,Web Development,Web Developer,Yes,4.81
Muhammad Bose,R20230046,Female,23,82.42,92.64,8.81,0,90.5,69,JavaScript,59,Problem-Solving,5,0,0,1,1.9,AI/ML,ML Engineer,Yes,10.11
Ananya Yadav,R20240047,Male,23,67.1,74.58,5.99,1,85.4,66,C,58,Problem-Solving,4,3,1,4,3.5,Cybersecurity,Security Analyst,Yes,6.58
Myra Mishra,R20250048,Male,20,92.11,91.74,7.99,0,97.0,36,Java,73,Project Management,3,3,0,2,3.5,Cybersecurity,Software Developer,Yes,6.71
Sara Kumar,R20230049,Male,20,77.01,82.72,8.82,1,82.7,60,C,67,Leadership,4,3,0,2,1.5,Cybersecurity,Security Analyst,Yes,7.08
Krishna Kumar,R20240050,Male,20,78.19,75.99,7.98,0,92.3,64,Python,62,Project Management,4,3,0,2,2.3,Web Development,Frontend Developer,Yes,5.09
Sai Chowdhury,R20250051,Female,18,85.08,74.86,7.16,0,100.0,95,Other,69,Problem-Solving,4,4,0,0,2.2,Cybersecurity,Security Analyst,Yes,7.74
Navya Reddy,R20230052,Female,19,80.33,74.78,6.77,0,88.0,75,C,51,Project Management,4,3,2,1,3.9,AI/ML,Data Analyst,Yes,7.97
Aarohi Jha,R20240053,Female,19,87.53,96.91,8.64,0,82.5,89,Python,68,Problem-Solving,1,0,1,1,3.7,AI/ML,Data Analyst,Yes,8.34
Aarohi Mishra,R20250054,Female,19,80.87,79.23,5.69,3,89.2,74,Python,68,Leadership,7,0,1,3,3.5,Mobile Development,Android Developer,Yes,7.09
Diya Singh,R20230055,Female,20,71.88,70.42,6.24,0,78.3,53,JavaScript,43,Communication,4,1,0,2,2.1,Cloud Computing,DevOps Engineer,No,6.23
Arjun Sheikh,R20240056,Female,21,81.62,79.82,6.92,0,100.0,66,JavaScript,81,Communication,5,2,0,1,4.4,Cloud Computing,Cloud Engineer,Yes,8.51
Myra Gupta,R20250057,Male,23,66.56,77.98,8.89,0,83.8,68,Python,53,Project Management,1,2,0,4,3.0,Web Development,Backend Developer,Yes,5.74
Vivaan Patel,R20230058,Male,19,79.09,88.85,7.86,2,79.3,49,C,67,Problem-Solving,2,2,1,3,3.4,Data Science,ML Engineer,No,6.06
Arjun Aggarwal,R20240059,Male,22,77.67,90.98,6.24,0,73.6,58,Java,83,Communication,3,1,0,1,4.9,Mobile Development,Android Developer,Yes,6.74
Aadhya Khan,R20250060,Male,20,75.92,74.97,7.03,0,93.0,61,Python,80,Problem-Solving,2,1,1,4,3.6,AI/ML,Data Analyst,Yes,8.25
Aditya Mishra,R20230061,Male,20,76.71,78.48,6.66,2,90.7,90,Java,67,Leadership,5,0,1,4,2.7,Web Development,Web Developer,Yes,5.5
Isha Khan,R20240062,Male,22,59.18,50.08,6.55,0,77.0,31,C,61,Project Management,3,2,0,1,2.2,Cybersecurity,Security Analyst,Yes,6.21
Sara Sheikh,R20250063,Female,19,72.51,81.37,8.57,0,87.8,83,C,80,Problem-Solving,5,2,0,2,0.7,Web Development,Frontend Developer,Yes,5.44
Krishna Chowdhury,R20230064,Male,21,78.93,71.92,5.75,1,66.9,49,Java,76,Project Management,5,3,0,2,0.9,Cybersecurity,Software Developer,Yes,6.43
Aarav Patel,R20240065,Male,21,79.6,80.9,9.33,0,83.8,42,Python,57,Problem-Solving,3,1,0,3,3.8,Cloud Computing,Software Developer,Yes,7.36
Navya Reddy,R20250066,Male,21,67.72,61.14,8.39,0,86.5,83,JavaScript,54,Problem-Solving,6,1,1,1,0.4,Data Science,Software Developer,Yes,7.67
Ananya Patel,R20230067,Male,21,90.66,87.13,8.71,1,99.1,76,C,35,Leadership,6,1,2,2,4.0,Data Science,Data Analyst,Yes,6.93
Ishaan Jha,R20240068,Female,24,69.34,64.32,6.84,0,74.3,84,Python,68,Project Management,2,3,1,2,3.8,Data Science,Data Analyst,Yes,7.57
Reyansh Pathak,R20250069,Male,20,87.69,84.04,7.22,1,69.2,77,Other,65,Critical Thinking,6,3,0,3,1.8,Cloud Computing,Software Developer,Yes,7.76
Aarav Reddy,R20230070,Other,20,82.27,79.04,5.68,1,73.0,97,Python,83,Problem-Solving,3,2,2,1,3.0,AI/ML,Data Scientist,Yes,12.34
Anika Aggarwal,R20240071,Female,20,71.54,68.25,6.77,0,68.6,73,JavaScript,71,Problem-Solving,2,3,0,0,3.5,AI/ML,Data Analyst,Yes,8.22
Anika Patel,R20250072,Male,20,95.75,100.0,7.99,0,95.4,61,Python,86,Communication,6,1,1,1,2.9,AI/ML,Data Analyst,Yes,9.24
Ishaan Sheikh,R20230073,Male,20,66.06,59.43,8.96,0,97.5,69,Java,56,Project Management,7,3,0,1,4.3,Data Science,ML Engineer,Yes,8.58
Meera Yadav,R20240074,Female,22,87.19,88.51,6.07,0,85.2,84,JavaScript,83,Critical Thinking,2,2,0,1,1.1,Data Science,Data Scientist,Yes,9.71
Arjun Roy,R20250075,Female,23,88.01,95.32,6.96,0,94.2,52,Python,58,Leadership,6,4,0,2,3.4,Cybersecurity,Software Developer,Yes,6.9
Reyansh Chowdhury,R20230076,Female,20,71.29,68.21,7.22,1,83.3,54,JavaScript,78,Critical Thinking,4,1,0,1,2.1,Mobile Development,Android Developer,Yes,6.39
Anika Sharma,R20240077,Female,19,91.92,87.61,5.73,1,81.0,59,Java,44,Leadership,1,5,0,1,0.7,Web Development,Web Developer,Yes,5.21
Meera Das,R20250078,Male,21,75.5,74.12,8.11,0,78.7,30,Python,70,Critical Thinking,2,7,0,7,1.4,Web Development,Web Developer,Yes,4.44
Myra Sharma,R20230079,Male,20,80.89,87.97,6.53,1,78.9,66,Java,36,Critical Thinking,6,4,1,0,2.2,Data Science,Data Analyst,Yes,6.82
Vihaan Roy,R20240080,Male,21,80.6,81.76,7.17,1,66.5,34,Java,62,Project Management,3,1,0,1,2.8,AI/ML,ML Engineer,Yes,8.94
Ishaan Singh,R20250081,Female,21,76.66,73.47,6.86,0,84.6,65,C,73,Communication,4,0,0,5,1.7,Data Science,Data Scientist,Yes,10.4
Vivaan Singh,R20230082,Female,18,86.11,89.01,6.45,1,81.6,78,Python,58,Critical Thinking,4,5,0,4,2.2,Mobile Development,Android Developer,Yes,5.92
Aarohi Gupta,R20240083,Male,23,85.93,79.32,7.39,0,89.5,56,Python,50,Problem-Solving,5,4,2,3,2.3,Web Development,Frontend Developer,Yes,5.11
Aditya Thakur,R20250084,Male,23,60.51,64.6,7.14,0,82.9,91,Python,79,Problem-Solving,4,1,0,1,1.7,Web Development,Web Developer,Yes,6.2
Aditya Chowdhury,R20230085,Male,20,91.04,93.49,6.95,1,80.4,41,JavaScript,64,Problem-Solving,5,5,1,1,2.1,Web Development,Frontend Developer,Yes,4.53
Arjun Kumar,R20240086,Male,20,61.38,59.53,6.53,0,73.3,83,Python,59,Communication,4,1,0,3,3.5,Cloud Computing,DevOps Engineer,Yes,8.67
Myra Chowdhury,R20250087,Female,21,88.33,83.3,7.78,1,82.7,75,Other,67,Critical Thinking,8,2,0,4,4.8,Web Development,Web Developer,Yes,5.81
Reyansh Reddy,R20230088,Female,21,89.27,83.95,9.38,2,89.4,37,Python,100,Leadership,4,1,1,0,3.1,Data Science,Data Scientist,Yes,8.29
Anika Khan,R20240089,Female,21,67.09,70.3,7.57,0,70.6,100,Python,83,Leadership,4,4,0,1,3.0,Data Science,ML Engineer,Yes,10.83
Aadhya Yadav,R20250090,Male,24,73.89,81.26,8.6,0,82.9,63,JavaScript,83,Project Management,2,3,0,2,2.7,AI/ML,Data Analyst,Yes,8.02
Navya Yadav,R20230091,Male,20,66.94,63.12,5.73,2,84.3,50,Java,73,Communication,4,2,0,2,2.3,Web Development,Web Developer,Yes,5.29
Ishaan Mishra,R20240092,Female,19,75.85,78.6,7.59,2,74.8,41,Java,68,Critical Thinking,3,1,1,2,3.5,AI/ML,Data Analyst,Yes,7.11
Diya Pathak,R20250093,Female,18,74.92,62.4,6.08,0,76.1,60,C,30,Problem-Solving,6,1,1,1,4.0,Data Science,Data Scientist,Yes,9.43
Anika Pathak,R20230094,Female,19,85.8,82.29,5.63,1,84.3,62,Python,56,Communication,7,0,0,1,1.4,Mobile Development,Android Developer,No,4.54
Vihaan Singh,R20240095,Female,20,91.1,90.91,6.51,1,70.7,66,Python,59,Communication,5,4,0,1,4.0,Cloud Computing,SRE,Yes,8.36
Sai Gupta,R20250096,Male,23,91.96,86.5,8.83,0,85.5,59,Other,38,Critical Thinking,5,5,1,3,4.8,Data Science,Software Developer,Yes,7.24
Ananya Sharma,R20230097,Male,20,72.38,66.76,8.54,1,73.0,74,Python,49,Project Management,3,3,0,6,1.6,Mobile Development,Android Developer,Yes,5.63
Aarohi Chowdhury,R20240098,Male,21,75.91,71.9,7.69,2,92.6,58,JavaScript,36,Project Management,4,2,1,4,3.9,Web Development,Web Developer,Yes,5.41
Sai Bose,R20250099,Male,20,61.17,62.92,5.56,2,100.0,33,Java,65,Project Management,6,1,1,3,4.8,Cybersecurity,Security Analyst,No,4.51
Sai Sharma,R20230100,Male,22,69.94,68.82,7.16,0,73.4,62,Python,78,Problem-Solving,3,3,0,1,3.7,Data Science,Data Analyst,Yes,7.2
Aditya Verma,R20240101,Male,24,87.65,74.22,7.76,0,87.3,26,Java,83,Problem-Solving,4,1,1,6,2.6,Data Science,Data Analyst,Yes,6.8
Sai Gupta,R20250102,Female,20,94.16,81.44,7.61,0,74.7,70,JavaScript,72,Critical Thinking,4,1,1,2,3.7,Web Development,Backend Developer,Yes,5.72
Vivaan Das,R20230103,Male,20,65.66,62.02,5.19,1,92.4,48,JavaScript,52,Project Management,4,3,0,2,1.8,AI/ML,Data Analyst,No,4.91
Aditya Sheikh,R20240104,Male,22,72.08,74.83,6.33,0,69.3,67,C,37,Critical Thinking,5,6,2,0,2.4,Web Development,Frontend Developer,Yes,4.99
Sai Reddy,R20250105,Female,22,77.74,61.25,7.32,0,86.8,85,Python,40,Project Management,4,5,0,4,1.9,AI/ML,Data Analyst,Yes,8.52
Myra Yadav,R20230106,Male,23,80.8,77.8,8.04,0,73.3,49,Python,47,Communication,1,2,0,3,1.2,Web Development,Web Developer,Yes,5.34
Navya Kumar,R20240107,Male,21,69.9,66.74,4.76,3,79.9,81,C,53,Leadership,4,1,2,1,2.8,Cybersecurity,Security Analyst,No,4.67
Aarohi Bose,R20250108,Female,20,82.24,90.57,7.21,0,71.7,57,Java,64,Leadership,3,2,0,5,3.2,AI/ML,Data Analyst,Yes,8.3
Myra Singh,R20230109,Male,21,73.26,70.95,7.57,0,90.2,92,JavaScript,51,Project Management,7,1,0,2,3.6,Cybersecurity,Security Analyst,Yes,7.51
Myra Jha,R20240110,Male,22,77.86,80.16,8.42,0,73.6,58,Python,71,Critical Thinking,2,3,0,1,0.0,Cybersecurity,SOC Engineer,Yes,7.0
Muhammad Patel,R20250111,Male,22,83.46,84.31,8.23,2,87.5,51,JavaScript,63,Problem-Solving,3,1,1,1,3.0,Web Development,Frontend Developer,Yes,5.01
Vihaan Jha,R20230112,Male,21,78.06,65.28,8.1,0,78.6,75,Java,66,Project Management,3,1,0,0,2.9,Web Development,Web Developer,Yes,4.65
Diya Jha,R20240113,Female,22,73.64,78.25,6.44,0,80.9,57,Python,83,Project Management,2,6,0,3,1.5,Data Science,Data Scientist,Yes,10.38
Aadhya Pathak,R20250114,Female,22,76.9,78.19,5.11,2,83.5,51,C,48,Problem-Solving,5,2,0,3,2.3,Cloud Computing,Cloud Engineer,No,5.11
Vivaan Patel,R20230115,Female,23,77.12,80.17,6.93,2,74.4,56,JavaScript,72,Project Management,6,4,0,2,3.7,AI/ML,Data Analyst,Yes,8.12
Vivaan Mishra,R20240116,Female,21,74.3,97.86,8.6,1,84.1,63,JavaScript,66,Communication,3,1,2,3,2.9,Cybersecurity,Network Engineer,Yes,6.94
Ananya Patel,R20250117,Female,20,75.41,62.91,9.07,1,97.3,85,Java,61,Problem-Solving,5,0,1,1,2.8,Cloud Computing,Software Developer,Yes,7.59
Sai Yadav,R20230118,Male,21,93.99,100.0,8.25,0,74.2,33,C,79,Communication,5,1,0,1,3.9,Cloud Computing,SRE,Yes,8.18
Muhammad Chowdhury,R20240119,Female,22,83.61,81.89,7.92,1,93.7,64,Python,79,Leadership,4,4,0,0,5.6,AI/ML,Data Analyst,Yes,8.81
Sara Kumar,R20250120,Male,19,75.05,76.77,7.86,2,97.0,74,C,52,Problem-Solving,5,4,0,2,2.5,AI/ML,Software Developer,Yes,7.42
Aadhya Aggarwal,R20230121,Female,21,84.97,84.7,6.73,1,73.8,67,Java,63,Problem-Solving,3,6,0,3,3.1,Cloud Computing,SRE,Yes,9.32
Krishna Pathak,R20240122,Female,20,74.66,72.11,7.24,0,67.4,85,JavaScript,70,Critical Thinking,3,1,1,2,1.7,Cloud Computing,DevOps Engineer,Yes,9.34
Sai Gupta,R20250123,Male,21,89.73,86.31,9.4,2,85.0,63,C,62,Critical Thinking,4,4,2,2,5.4,Cybersecurity,Software Developer,Yes,7.69
Sara Chowdhury,R20230124,Male,22,81.7,83.68,6.27,0,76.5,61,JavaScript,75,Problem-Solving,4,2,1,0,2.2,AI/ML,Software Developer,Yes,8.65
Vihaan Verma,R20240125,Male,21,76.93,67.83,9.34,2,100.0,73,Java,70,Leadership,3,3,0,1,0.6,AI/ML,Data Scientist,Yes,11.44
Navya Sharma,R20250126,Male,21,82.48,86.98,7.01,0,82.3,66,Java,93,Project Management,3,4,1,1,3.5,Data Science,Software Developer,Yes,7.2
Aditya Singh,R20230127,Female,18,62.29,59.79,8.99,0,74.0,58,Other,43,Critical Thinking,7,0,0,1,0.9,Cloud Computing,Cloud Engineer,Yes,7.37
Reyansh Jha,R20240128,Female,22,66.73,59.95,5.71,1,70.5,72,C,64,Leadership,3,3,2,0,4.4,AI/ML,Data Scientist,Yes,11.2
Myra Thakur,R20250129,Male,21,66.06,63.36,8.1,0,92.9,54,JavaScript,52,Leadership,5,5,0,1,3.5,Web Development,Web Developer,Yes,5.75
Muhammad Mishra,R20230130,Male,24,79.43,86.97,6.52,0,76.3,54,C,75,Critical Thinking,3,4,0,2,1.6,Web Development,Software Developer,Yes,5.72
Vivaan Aggarwal,R20240131,Male,20,95.33,92.12,5.7,2,82.4,56,Python,42,Project Management,5,1,1,2,3.6,Cloud Computing,DevOps Engineer,No,4.49
Isha Sharma,R20250132,Male,21,100.0,100.0,7.66,2,91.6,86,JavaScript,71,Critical Thinking,4,3,2,3,2.4,AI/ML,Software Developer,Yes,9.07
Isha Reddy,R20230133,Male,21,84.38,79.99,8.61,0,77.2,12,JavaScript,57,Leadership,1,1,2,2,3.3,Data Science,ML Engineer,Yes,7.26
Sara Nair,R20240134,Male,23,83.01,87.56,6.39,1,81.5,70,Java,55,Communication,5,0,0,7,1.3,Web Development,Backend Developer,Yes,5.11
Aadhya Chowdhury,R20250135,Female,20,59.99,64.1,5.6,3,81.8,65,Java,44,Critical Thinking,3,3,2,1,1.2,AI/ML,ML Engineer,Yes,9.93
Myra Kumar,R20230136,Male,21,72.57,83.66,7.29,1,88.8,37,JavaScript,59,Leadership,3,2,0,2,3.2,Web Development,Frontend Developer,Yes,4.84
Muhammad Nair,R20240137,Male,21,70.12,69.07,7.3,0,87.9,69,JavaScript,82,Critical Thinking,4,0,1,1,5.1,Data Science,Data Scientist,Yes,10.56
Muhammad Verma,R20250138,Female,21,71.79,75.8,8.06,1,79.8,72,C,66,Leadership,7,1,1,2,2.0,AI/ML,Data Analyst,Yes,8.97
Aarohi Chowdhury,R20230139,Male,20,76.32,76.91,8.54,1,82.6,73,JavaScript,75,Project Management,6,0,1,3,1.9,AI/ML,ML Engineer,Yes,10.19
Vivaan Das,R20240140,Female,21,73.28,81.06,7.33,1,78.3,22,Python,91,Leadership,6,3,1,2,2.4,Mobile Development,iOS Developer,Yes,6.25
Vivaan Verma,R20250141,Female,22,58.21,53.9,9.63,1,67.2,86,Python,70,Problem-Solving,1,3,2,3,1.2,Web Development,Web Developer,Yes,5.06
Aarohi Thakur,R20230142,Male,19,85.48,89.95,7.67,0,84.6,52,Python,58,Communication,5,1,1,2,3.5,Web Development,Web Developer,Yes,5.28
Anika Sheikh,R20240143,Male,21,67.27,66.1,6.98,1,100.0,75,Java,73,Leadership,5,2,0,3,3.9,Web Development,Web Developer,Yes,5.97
Reyansh Verma,R20250144,Male,19,80.39,80.0,5.47,2,73.2,76,Other,58,Critical Thinking,4,3,1,3,3.4,Web Development,Web Developer,Yes,5.0
Anika Gupta,R20230145,Male,22,98.74,99.29,7.08,1,74.3,50,Java,58,Critical Thinking,5,3,1,4,2.6,Web Development,Backend Developer,Yes,5.71
Reyansh Gupta,R20240146,Male,18,68.81,70.32,7.0,0,73.3,75,Other,43,Leadership,3,5,0,2,1.6,Cybersecurity,Software Developer,Yes,6.51
Meera Gupta,R20250147,Female,20,52.7,52.0,8.55,1,89.2,58,Python,80,Problem-Solving,3,4,0,3,5.3,Data Science,Data Scientist,Yes,9.69
Sai Mishra,R20230148,Male,21,75.14,76.43,7.95,0,86.5,31,JavaScript,60,Leadership,2,2,0,1,1.8,Mobile Development,Android Developer,Yes,5.68
Vihaan Bose,R20240149,Male,23,89.01,98.48,5.98,2,80.4,83,JavaScript,69,Project Management,6,4,0,1,1.7,Web Development,Backend Developer,Yes,5.94
Sai Bose,R20250150,Male,20,97.58,100.0,7.61,0,72.8,52,Java,50,Problem-Solving,3,1,2,3,0.6,AI/ML,ML Engineer,Yes,9.44
Meera Verma,R20230151,Female,20,65.7,70.91,8.21,0,82.9,50,Java,73,Leadership,1,0,0,2,1.1,Mobile Development,Mobile QA,Yes,4.78
Meera Gupta,R20240152,Male,23,82.97,80.24,9.23,1,66.4,58,Java,55,Communication,4,7,1,2,3.2,Web Development,Web Developer,Yes,5.67
Aadhya Bose,R20250153,Male,18,73.35,68.01,8.47,2,83.4,68,JavaScript,64,Problem-Solving,4,1,0,2,2.3,Data Science,Data Analyst,Yes,7.24
Aarohi Sheikh,R20230154,Male,18,76.94,82.67,8.31,0,90.7,63,JavaScript,79,Leadership,5,3,0,1,1.8,Cybersecurity,Network Engineer,Yes,7.41
Ananya Reddy,R20240155,Other,21,100.0,100.0,7.47,1,69.5,73,C,78,Communication,3,2,1,2,1.8,AI/ML,ML Engineer,Yes,10.61
Muhammad Das,R20250156,Male,20,62.97,71.81,7.87,1,66.7,43,JavaScript,66,Leadership,5,2,0,0,2.2,AI/ML,Software Developer,Yes,8.1
Sai Reddy,R20230157,Female,19,80.54,76.92,8.9,0,97.8,52,Python,39,Project Management,5,3,1,2,2.0,Data Science,Data Scientist,Yes,9.11
Isha Kumar,R20240158,Female,22,82.68,81.3,5.8,2,75.9,62,Python,100,Critical Thinking,1,3,1,1,4.5,Cybersecurity,Security Analyst,Yes,7.72
Ishaan Pathak,R20250159,Male,21,88.86,79.02,6.98,0,93.4,94,JavaScript,92,Leadership,2,2,0,3,2.4,AI/ML,Data Scientist,Yes,12.1
Ananya Gupta,R20230160,Female,20,78.98,76.63,6.47,0,80.5,62,Python,77,Problem-Solving,5,1,0,4,3.0,Web Development,Frontend Developer,Yes,5.73
Aarav Pathak,R20240161,Male,19,81.08,87.06,7.85,0,80.4,81,JavaScript,55,Leadership,2,3,0,3,2.9,Mobile Development,Android Developer,Yes,6.27
Meera Bose,R20250162,Female,22,74.08,71.28,8.88,0,86.4,65,Python,64,Leadership,4,1,0,5,2.9,AI/ML,ML Engineer,Yes,11.11
Vihaan Gupta,R20230163,Female,21,80.69,84.53,6.68,1,73.2,56,C,58,Leadership,3,0,0,0,2.4,AI/ML,Data Analyst,No,5.31
